Latitude,Longitude,Elevation,Grade(%)
58.88515,-123.34512,455.7,1.292095936
58.88493,-123.3468,452.4,1.117939059
58.88472,-123.34848,449.9,0.953943666
58.8845,-123.35016,448.6,0.776280425
58.88428,-123.35184,450.2,0.618538255
58.88406,-123.35351,450.6,0.502158366
58.88385,-123.35519,452.5,0.437497949
58.88363,-123.35687,455.1,0.38155047
58.88341,-123.35855,454.4,0.357216536
58.88319,-123.36023,453.8,0.360602586
58.88298,-123.36191,455.9,0.394307824
58.88276,-123.36359,457.7,0.419807171
58.88254,-123.36527,460.4,0.445106283
58.88224,-123.36688,462,0.472908447
58.88193,-123.36849,460.2,0.511868558
58.88157,-123.36997,461,0.580679444
58.88121,-123.37145,462.3,0.665625411
58.8808,-123.37297,462.9,0.77128821
58.88038,-123.3745,464.8,0.889914097
58.87997,-123.37602,467.3,1.01960331
58.87956,-123.37755,464.7,1.145611915
58.87932,-123.37876,462.6,1.253345209
58.87908,-123.37996,463.9,1.339754399
58.87884,-123.38117,467,1.411360075
58.87866,-123.38241,470.4,1.477110601
58.87848,-123.38366,472.4,1.529921631
58.87829,-123.3849,472.2,1.580629476
58.87815,-123.38629,475.1,1.629207817
58.87801,-123.38769,474.9,1.652250594
58.87792,-123.38927,476.3,1.658543401
58.87783,-123.39085,476.9,1.668741951
58.87786,-123.39225,480.3,1.656963257
58.87788,-123.39364,482.7,1.632737568
58.87791,-123.39504,483.9,1.601422638
58.87793,-123.39644,486.5,1.528581456
58.87795,-123.39783,488.8,1.451565811
58.87789,-123.39926,490.2,1.363866605
58.87779,-123.40025,490.4,1.265245537
58.8777,-123.40123,491.1,1.164082604
58.87744,-123.40283,492,1.045106583
58.87723,-123.40372,491.5,0.886733706
58.87701,-123.40461,490.8,0.702159335
58.87663,-123.40586,489.9,0.540226399
58.87624,-123.40712,488.5,0.406737848
58.87585,-123.40838,488.1,0.287188579
58.87547,-123.40964,487.3,0.162229628
58.87502,-123.41113,486.1,0.013920777
58.87457,-123.41261,485.5,-0.118778123
58.87412,-123.41409,484.7,-0.2606377
58.87368,-123.41558,482.4,-0.40498854
58.87323,-123.4168,479.7,-0.560489994
58.87279,-123.41803,479.7,-0.685626078
58.87229,-123.41918,480,-0.795107685
58.8718,-123.42032,479.1,-0.903877033
58.87146,-123.42102,479.3,-0.985806047
58.87112,-123.42172,478.2,-1.032434793
58.87045,-123.4228,477.5,-1.059423247
58.86978,-123.42388,476.1,-1.082668317
58.86911,-123.42496,474.8,-1.095128071
58.86844,-123.42603,476.8,-1.095364674
58.86777,-123.42711,477.5,-1.093870184
58.8671,-123.42819,476.2,-1.094483007
58.86643,-123.42927,472,-1.084283626
58.86576,-123.43035,468.3,-1.069382971
58.86509,-123.43143,466.7,-1.054603147
58.86442,-123.43251,466.3,-1.033075443
58.86375,-123.43359,466,-1.015959323
58.86307,-123.43467,464.7,-0.9985115
58.8624,-123.43575,463,-0.997724774
58.86173,-123.43682,462.3,-1.002570375
58.86106,-123.4379,462.4,-1.024401502
58.86039,-123.43898,460.9,-1.036300191
58.85972,-123.44006,460.4,-1.021994775
58.85905,-123.44114,461,-1.013260246
58.85838,-123.44222,460.4,-0.997514325
58.85771,-123.4433,458.3,-0.992523645
58.85704,-123.44438,456.9,-0.994629998
58.85637,-123.44546,456.4,-0.99987597
58.8557,-123.44654,456.2,-1.002236371
58.85503,-123.44761,455.9,-0.97748283
58.85436,-123.44869,455.4,-0.944644056
58.85369,-123.44977,455.2,-0.918386069
58.85312,-123.45064,453.6,-0.915657028
58.85254,-123.4515,451.7,-0.93638245
58.85178,-123.45235,451,-0.969882294
58.85102,-123.4532,448.8,-1.000152094
58.85026,-123.45404,447.6,-1.012962083
58.8495,-123.45489,446.4,-1.019080318
58.84874,-123.45574,447.8,-1.015442543
